COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
San Diego,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Francisco,2017,Race/ethnicity,AI/AN,All ages,0,0,
San Joaquin,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Luis Obispo,2017,Race/ethnicity,AI/AN,All ages,0,0,
San Mateo,2017,Race/ethnicity,AI/AN,All ages,0,0,
Santa Barbara,2017,Race/ethnicity,AI/AN,All ages,0,0,
Santa Clara,2017,Race/ethnicity,AI/AN,All ages,0,0,
Santa Cruz,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2017,Race/ethnicity,AI/AN,All ages,0,0,
Sierra,2017,Race/ethnicity,AI/AN,All ages,0,0,
Siskiyou,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2017,Race/ethnicity,AI/AN,All ages,0,0,
Sonoma,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Stanislaus,2017,Race/ethnicity,AI/AN,All ages,0,0,
Sutter,2017,Race/ethnicity,AI/AN,All ages,0,0,
Tehama,2017,Race/ethnicity,AI/AN,All ages,0,0,
Trinity,2017,Race/ethnicity,AI/AN,All ages,0,0,
Tulare,2017,Race/ethnicity,AI/AN,All ages,0,0,
Tuolumne,2017,Race/ethnicity,AI/AN,All ages,0,0,
Ventura,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2017,Race/ethnicity,AI/AN,All ages,0,0,
Yuba,2017,Race/ethnicity,AI/AN,All ages,0,0,
California,2018,Total population,All ages,All ages,"17,012",4.4,
Alameda,2018,Total population,All ages,All ages,687,4.3,
Alpine,2018,Total population,All ages,All ages,0,0,
Amador,2018,Total population,All ages,All ages,6,,Rate not available due to statistical instability
Butte,2018,Total population,All ages,All ages,109,5.3,
Calaveras,2018,Total population,All ages,All ages,10,,Rate not available due to statistical instability
Colusa,2018,Total population,All ages,All ages,11,,Rate not available due to statistical instability
Contra Costa,2018,Total population,All ages,All ages,487,4.4,
Del Norte,2018,Total population,All ages,All ages,6,,Rate not available due to statistical instability
El Dorado,2018,Total population,All ages,All ages,60,3.5,
Fresno,2018,Total population,All ages,All ages,729,7,
Glenn,2018,Total population,All ages,All ages,13,4.4,
Humboldt,2018,Total population,All ages,All ages,59,4.5,
Imperial,2018,Total population,All ages,All ages,112,5.8,
Inyo,2018,Total population,All ages,All ages,9,,Rate not available due to statistical instability
Kern,2018,Total population,All ages,All ages,312,3.3,
Kings,2018,Total population,All ages,All ages,54,3.6,
Lake,2018,Total population,All ages,All ages,36,6.9,
Lassen,2018,Total population,All ages,All ages,11,,Rate not available due to statistical instability
Los Angeles,2018,Total population,All ages,All ages,"5,359",5.4,
Madera,2018,Total population,All ages,All ages,79,4.9,
Marin,2018,Total population,All ages,All ages,80,3.3,
Mariposa,2018,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2018,Total population,All ages,All ages,45,5.7,
Merced,2018,Total population,All ages,All ages,134,4.8,
Modoc,2018,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2018,Total population,All ages,All ages,6,,Rate not available due to statistical instability
Monterey,2018,Total population,All ages,All ages,174,4,
Napa,2018,Total population,All ages,All ages,22,1.6,
Nevada,2018,Total population,All ages,All ages,25,3.2,
Orange,2018,Total population,All ages,All ages,"1,026",3.3,
Placer,2018,Total population,All ages,All ages,77,2.2,
Plumas,2018,Total population,All ages,All ages,9,,Rate not available due to statistical instability
Riverside,2018,Total population,All ages,All ages,763,3.2,
Sacramento,2018,Total population,All ages,All ages,921,6.2,
San Benito,2018,Total population,All ages,All ages,24,4,
San Bernardino,2018,Total population,All ages,All ages,988,4.5,
San Diego,2018,Total population,All ages,All ages,"1,243",3.7,
San Francisco,2018,Total population,All ages,All ages,381,5.1,
San Joaquin,2018,Total population,All ages,All ages,341,4.6,
San Luis Obispo,2018,Total population,All ages,All ages,86,3.7,
San Mateo,2018,Total population,All ages,All ages,196,2.5,
Santa Barbara,2018,Total population,All ages,All ages,80,1.8,
Santa Clara,2018,Total population,All ages,All ages,588,2.9,
Santa Cruz,2018,Total population,All ages,All ages,99,3.9,
Shasta,2018,Total population,All ages,All ages,62,3.8,
Sierra,2018,Total population,All ages,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2018,Total population,All ages,All ages,11,,Rate not available due to statistical instability
Solano,2018,Total population,All ages,All ages,179,4.2,
Sonoma,2018,Total population,All ages,All ages,154,3.3,
Stanislaus,2018,Total population,All ages,All ages,276,5,
Sutter,2018,Total population,All ages,All ages,31,3.2,
Tehama,2018,Total population,All ages,All ages,26,4.2,
Trinity,2018,Total population,All ages,All ages,6,,Rate not available due to statistical instability
Tulare,2018,Total population,All ages,All ages,190,3.7,
Tuolumne,2018,Total population,All ages,All ages,16,3.6,
Ventura,2018,Total population,All ages,All ages,249,2.9,
Yolo,2018,Total population,All ages,All ages,63,3.2,
Yuba,2018,Total population,All ages,All ages,31,4,
California,2018,Child vs. adult,0–17 years,0–17 years,"7,699",8.4,
Alameda,2018,Child vs. adult,0–17 years,0–17 years,306,8.7,
Alpine,2018,Child vs. adult,0–17 years,0–17 years,0,0,
Amador,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2018,Child vs. adult,0–17 years,0–17 years,38,8.4,
Calaveras,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2018,Child vs. adult,0–17 years,0–17 years,181,7.5,
Del Norte,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2018,Child vs. adult,0–17 years,0–17 years,11,,Rate not available due to statistical instability
Fresno,2018,Child vs. adult,0–17 years,0–17 years,438,15.3,
Glenn,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2018,Child vs. adult,0–17 years,0–17 years,15,5.3,
Imperial,2018,Child vs. adult,0–17 years,0–17 years,68,12.3,
Inyo,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2018,Child vs. adult,0–17 years,0–17 years,168,6.5,
Kings,2018,Child vs. adult,0–17 years,0–17 years,29,6.3,
Lake,2018,Child vs. adult,0–17 years,0–17 years,16,11.8,
Lassen,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2018,Child vs. adult,0–17 years,0–17 years,"2,408",10.5,
Madera,2018,Child vs. adult,0–17 years,0–17 years,46,11,
Marin,2018,Child vs. adult,0–17 years,0–17 years,24,5.3,
Mariposa,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2018,Child vs. adult,0–17 years,0–17 years,22,11.4,
Merced,2018,Child vs. adult,0–17 years,0–17 years,52,6.6,
Modoc,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2018,Child vs. adult,0–17 years,0–17 years,76,6.5,
Napa,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2018,Child vs. adult,0–17 years,0–17 years,11,,Rate not available due to statistical instability
Orange,2018,Child vs. adult,0–17 years,0–17 years,441,6.2,
Placer,2018,Child vs. adult,0–17 years,0–17 years,30,4.1,
Plumas,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2018,Child vs. adult,0–17 years,0–17 years,379,6.4,
Sacramento,2018,Child vs. adult,0–17 years,0–17 years,399,11,
San Benito,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2018,Child vs. adult,0–17 years,0–17 years,487,8.5,
San Diego,2018,Child vs. adult,0–17 years,0–17 years,662,8.1,
San Francisco,2018,Child vs. adult,0–17 years,0–17 years,181,12.4,
San Joaquin,2018,Child vs. adult,0–17 years,0–17 years,155,7.9,
San Luis Obispo,2018,Child vs. adult,0–17 years,0–17 years,41,8.5,
San Mateo,2018,Child vs. adult,0–17 years,0–17 years,76,4.7,
Santa Barbara,2018,Child vs. adult,0–17 years,0–17 years,40,3.9,
Santa Clara,2018,Child vs. adult,0–17 years,0–17 years,204,4.6,
Santa Cruz,2018,Child vs. adult,0–17 years,0–17 years,38,6.6,
Shasta,2018,Child vs. adult,0–17 years,0–17 years,31,8.2,
Sierra,2018,Child vs. adult,0–17 years,0–17 years,0,0,
Siskiyou,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2018,Child vs. adult,0–17 years,0–17 years,68,6.9,
Sonoma,2018,Child vs. adult,0–17 years,0–17 years,60,6.4,
Stanislaus,2018,Child vs. adult,0–17 years,0–17 years,125,8.6,
Sutter,2018,Child vs. adult,0–17 years,0–17 years,15,6.1,
Tehama,2018,Child vs. adult,0–17 years,0–17 years,14,9,
Trinity,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2018,Child vs. adult,0–17 years,0–17 years,122,8.5,
Tuolumne,2018,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2018,Child vs. adult,0–17 years,0–17 years,94,4.9,
Yolo,2018,Child vs. adult,0–17 years,0–17 years,27,5.5,
Yuba,2018,Child vs. adult,0–17 years,0–17 years,16,7.4,
California,2018,Child vs. adult,18+ years,18+ years,"9,313",3,
Alameda,2018,Child vs. adult,18+ years,18+ years,381,2.8,
Alpine,2018,Child vs. adult,18+ years,18+ years,0,0,
Amador,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2018,Child vs. adult,18+ years,18+ years,71,4.2,
Calaveras,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2018,Child vs. adult,18+ years,18+ years,306,3.3,
Del Norte,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2018,Child vs. adult,18+ years,18+ years,49,3.6,
Fresno,2018,Child vs. adult,18+ years,18+ years,291,4.1,
Glenn,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2018,Child vs. adult,18+ years,18+ years,44,4.2,
Imperial,2018,Child vs. adult,18+ years,18+ years,44,3.6,
Inyo,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2018,Child vs. adult,18+ years,18+ years,144,2.2,
Kings,2018,Child vs. adult,18+ years,18+ years,25,2.6,
Lake,2018,Child vs. adult,18+ years,18+ years,20,5.2,
Lassen,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2018,Child vs. adult,18+ years,18+ years,"2,951",3.6,
Madera,2018,Child vs. adult,18+ years,18+ years,33,2.8,
Marin,2018,Child vs. adult,18+ years,18+ years,56,2.6,
Mariposa,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2018,Child vs. adult,18+ years,18+ years,23,3.8,
Merced,2018,Child vs. adult,18+ years,18+ years,82,4.2,
Modoc,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2018,Child vs. adult,18+ years,18+ years,98,3.1,
Napa,2018,Child vs. adult,18+ years,18+ years,12,0.8,
Nevada,2018,Child vs. adult,18+ years,18+ years,14,1.8,
Orange,2018,Child vs. adult,18+ years,18+ years,585,2.2,
Placer,2018,Child vs. adult,18+ years,18+ years,47,1.5,
Plumas,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2018,Child vs. adult,18+ years,18+ years,384,2.1,
Sacramento,2018,Child vs. adult,18+ years,18+ years,522,4.5,
San Benito,2018,Child vs. adult,18+ years,18+ years,16,3.4,
San Bernardino,2018,Child vs. adult,18+ years,18+ years,501,3.1,
San Diego,2018,Child vs. adult,18+ years,18+ years,581,2.3,
San Francisco,2018,Child vs. adult,18+ years,18+ years,200,2.6,
San Joaquin,2018,Child vs. adult,18+ years,18+ years,186,3.4,
San Luis Obispo,2018,Child vs. adult,18+ years,18+ years,45,2,
San Mateo,2018,Child vs. adult,18+ years,18+ years,120,1.7,
Santa Barbara,2018,Child vs. adult,18+ years,18+ years,40,1.1,
Santa Clara,2018,Child vs. adult,18+ years,18+ years,384,2.4,
Santa Cruz,2018,Child vs. adult,18+ years,18+ years,61,2.9,
Shasta,2018,Child vs. adult,18+ years,18+ years,31,2.2,
Sierra,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2018,Child vs. adult,18+ years,18+ years,111,3.3,
Sonoma,2018,Child vs. adult,18+ years,18+ years,94,2.2,
Stanislaus,2018,Child vs. adult,18+ years,18+ years,151,3.7,
Sutter,2018,Child vs. adult,18+ years,18+ years,16,2.2,
Tehama,2018,Child vs. adult,18+ years,18+ years,12,2.5,
Trinity,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2018,Child vs. adult,18+ years,18+ years,68,2.1,
Tuolumne,2018,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2018,Child vs. adult,18+ years,18+ years,155,2.3,
Yolo,2018,Child vs. adult,18+ years,18+ years,36,2.4,
Yuba,2018,Child vs. adult,18+ years,18+ years,15,2.8,
California,2018,Age groups,0–4 years,0–4 years,"3,679",14.9,
Alameda,2018,Age groups,0–4 years,0–4 years,145,14.9,
Alpine,2018,Age groups,0–4 years,0–4 years,0,0,
Amador,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2018,Age groups,0–4 years,0–4 years,24,19.5,
Calaveras,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2018,Age groups,0–4 years,0–4 years,99,15.5,
Del Norte,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2018,Age groups,0–4 years,0–4 years,211,27.3,
Glenn,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2018,Age groups,0–4 years,0–4 years,19,11.7,
Inyo,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2018,Age groups,0–4 years,0–4 years,84,12.1,
Kings,2018,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
